0
4
432;1288;4.764
3184;4032;6.744
5896;6736;6.6586
8544;9384;5.4407
55
212;4856;1100;5168;3
2916;4856;3740;5176;3
5628;4864;6452;5216;3
8284;4936;9196;5240;3
556;888;1420;1488;1
508;1504;1356;2016;1
428;2016;1316;2544;1
404;2536;1276;2928;1
364;3240;1220;3768;1
324;3760;1156;4224;1
260;4232;1132;4864;1
3340;736;4244;1160;1
3316;1184;4196;1648;1
3268;1672;4156;2136;1
3180;2152;4060;2560;1
3172;2560;4004;2856;1
3076;3192;3956;3616;1
3060;3640;3884;4144;1
2980;4136;3860;4504;1
2932;4512;3796;4840;1
6108;944;6900;1336;1
6020;1360;6892;1808;1
5956;1808;6836;2256;1
5908;2272;6780;2904;1
5780;3248;6660;3744;1
5700;3744;6636;4184;1
5652;4216;6596;4856;1
8660;1024;9556;1496;1
8612;1496;9492;1976;1
8580;1992;9452;2472;1
8516;2464;9412;2920;1
8404;3232;9372;3680;1
8388;3632;9324;4128;1
8324;4136;9244;4544;1
8316;4560;9252;4952;1
2092;1552;2340;2112;2
2044;2208;2372;2656;2
2000;3216;2360;3744;2
4912;1800;5184;2184;2
4872;2216;5144;2512;2
4848;2568;5136;2824;2
7496;3288;7856;3688;2
7448;3680;7808;4040;2
7424;4064;7768;4312;2
10232;1696;10544;2104;2
10168;2112;10528;2480;2
10152;2496;10496;2896;2
10088;3256;10432;3552;2
10064;3600;10440;3976;2
7624;2512;7960;2832;2
3048;872;3320;1224;0
3016;1224;3296;1608;0
2984;1656;3280;1992;0
2976;2000;3224;2352;0
2992;2344;3208;2624;0
12;50;1
-56;-65;-65;-48;-40;-6;-6;11;11;39;39;50;57;78;70;79;79;103;120;129;129;129;129;129;121;83;51;51;32;32;62;62;43;28;13;13;-8;-16;-74;-74;-83;-91;-76;-61;-61;-61;-61;-61;-61;-52;
-52;-52;-60;-60;-43;-15;9;20;31;46;46;72;72;72;55;55;64;75;120;131;139;139;139;139;122;105;54;54;37;37;56;56;56;39;28;11;0;-22;-63;-71;-71;-80;-80;-58;-58;-58;-49;-49;-49;-49;
-49;-49;-58;-58;-47;-30;11;28;28;52;63;71;71;71;49;49;57;57;108;119;134;134;134;134;118;101;56;48;48;31;55;55;55;55;36;27;5;-12;-44;-61;-61;-72;-72;-47;-47;-47;-36;-36;-36;-36;
-36;-53;-70;-61;-44;-36;7;15;37;52;63;72;72;72;44;44;44;63;106;121;136;136;136;136;127;101;60;52;43;34;49;49;49;49;49;30;21;-1;-29;-55;-55;-61;-61;-38;-38;-38;-38;-38;-38;-38;
-38;-46;-57;-57;-48;-37;10;21;32;47;47;64;64;64;42;42;42;50;82;116;135;135;135;135;117;102;72;55;55;40;40;59;59;51;51;40;21;6;-16;-42;-53;-53;-53;-53;-34;-26;-26;-26;-26;-26;
-26;-47;-58;-58;-58;-37;-7;15;36;44;44;55;66;57;35;35;35;44;68;98;115;132;132;132;117;102;78;56;56;47;47;58;58;58;58;50;42;23;-1;-33;-33;-50;-50;-39;-22;-22;-13;-13;-13;-13;
-28;-43;-43;-51;-51;-51;-15;6;25;36;45;45;60;60;39;22;30;39;39;82;104;121;121;121;121;102;78;56;56;47;47;62;62;62;62;62;47;30;9;-19;-28;-43;-43;-34;-17;-17;-17;-17;-17;-17;
-17;-36;-51;-51;-51;-42;-15;6;23;34;43;43;43;43;28;20;20;20;37;76;95;110;119;119;119;104;83;61;61;50;50;59;59;74;74;66;58;36;19;-2;-23;-23;-23;-23;-14;-14;-5;-5;-5;-14;
-23;-23;-45;-45;-53;-42;-33;3;22;30;39;39;39;39;22;22;14;14;33;65;84;99;110;110;110;102;85;66;57;57;49;49;70;70;70;70;61;44;22;11;-11;-26;-26;-26;-11;-11;-11;-11;-2;-2;
-24;-24;-41;-49;-49;-49;-34;-12;-3;8;16;24;24;24;24;15;15;23;23;42;64;75;75;94;94;85;77;62;47;47;47;47;47;55;55;55;44;44;20;11;-8;-8;-17;-17;-17;-17;-17;-17;-17;-17;
-56;-56;-56;-56;-56;-56;-56;-47;-39;-30;-19;-19;-10;-10;-10;-10;-10;-10;7;7;26;26;41;41;41;41;41;41;33;33;33;33;33;33;33;18;18;9;-2;-2;-23;-23;-41;-41;-41;-41;-41;-41;-41;-49;
-92;-92;-92;-92;-92;-92;-92;-92;-81;-73;-73;-58;-58;-58;-58;-49;-49;-41;-41;-30;-30;-19;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-11;-20;-29;-29;-48;-48;-56;-56;-71;-71;-71;-71;-71;-71;-82;
